2049356.tsv:SRR15678500	MinION sequencing: Transcriptome-Seq of Monocercomonoides exilis	2049356	1;131567;2759;2611341;2662611;66288;302780;302781;2049356	Monocercomonoides exilis	TRANSCRIPTOMIC	FL-cDNA	OXFORD_NANOPORE	878515	2022-01-22
240364.tsv:DRR316259	Sequel II sequencing: Sequel II sequencing of SAMD00401789	240364	1;131567;2759;2698737;33634;2696291;2836;33836;420266;265576;49236;49237;240364	Chaetoceros neogracilis	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	1968854	2021-12-03
240364.tsv:DRR316260	Sequel II sequencing: Sequel II sequencing of SAMD00401789	240364	1;131567;2759;2698737;33634;2696291;2836;33836;420266;265576;49236;49237;240364	Chaetoceros neogracilis	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	1035268	2021-12-03
2562237.tsv:ERR10032851	Sequel II sequencing	2562237	1;131567;2759;2698737;33630;2864;89954;252141;2486696;2562237	Cladocopium goreaui	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	147300293	2022-08-09
2562239.tsv:DRR658382	Sequel II sequencing: N2908_HiFi_isoseq	2562239	1;131567;2759;2698737;33630;2864;89954;252141;2562238;2562239	Effrenium voratum	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	825497	2025-06-11
2690220.tsv:SRR19760117	Sequel sequencing: Cyanidiococcus yangmingshanensis 8.1.23 F7 PacBio Iso-Seq	2690220	1;131567;2759;2763;2797;265318;265316;2759657;2690220	Cyanidiococcus yangmingshanensis	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	21980	2022-11-08
2771.tsv:SRR19760115	Sequel sequencing: Cyanidium caldarium 063 E5 PacBio Iso-Seq	2771	1;131567;2759;2763;2797;265318;265316;2770;2771	Cyanidium caldarium	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	16029	2022-11-08
2788.tsv:SRR10502265	PacBio RS II sequencing: SMRT of Pyropia yezoensis	2788	1;131567;2759;2763;2797;29216;31345;1094566;2788	Pyropia yezoensis	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	163482	2020-07-03
2788.tsv:SRR10502266	PacBio RS II sequencing: SMRT of Pyropia yezoensis	2788	1;131567;2759;2763;2797;29216;31345;1094566;2788	Pyropia yezoensis	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	163482	2020-07-03
2788.tsv:SRR10502264	PacBio RS II sequencing: SMRT of Pyropia yezoensis	2788	1;131567;2759;2763;2797;29216;31345;1094566;2788	Pyropia yezoensis	TRANSCRIPTOMIC	RNA-Seq	PACBIO_SMRT	163482	2020-07-03
280463.tsv:SRR17239049	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 0-800bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1981416	2023-05-10
